,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),측정시간
511,-0.4,,1.0,20.0,34.0,2.0,-14.3,1007.6,1018.4,,,,,10.0,ScAs,15.0,1989,-1.3,0.0,0.1,0.5,1.0,2023-07-15 07:00:00
512,-0.7,,0.5,70.0,32.0,1.9,-15.3,1007.4,1018.2,0.0,0.0,,,10.0,ScAs,13.0,1991,-1.0,0.0,0.1,0.6,1.0,2023-07-15 08:00:00
513,0.1,,0.8,50.0,33.0,2.0,-14.3,1006.8,1017.6,0.0,0.06,,,10.0,ScAs,15.0,1901,-0.5,0.0,0.1,0.5,1.0,2023-07-15 09:00:00
514,1.1,,0.7,110.0,31.0,2.1,-14.1,1006.3,1017.1,0.0,0.25,,,6.0,Sc,15.0,1898,-0.1,0.1,0.1,0.6,1.0,2023-07-15 10:00:00
515,2.4,,0.9,90.0,27.0,2.0,-14.7,1005.3,1016.0,0.1,0.47,,,7.0,Sc,16.0,1796,0.0,0.1,0.1,0.6,1.0,2023-07-15 11:00:00
516,3.9,,0.9,90.0,28.0,2.3,-12.9,1004.0,1014.6,0.6,0.6,,,9.0,ScCi,10.0,1383,0.6,0.3,0.1,0.6,1.0,2023-07-15 12:00:00
517,3.9,,0.6,290.0,33.0,2.7,-10.9,1002.6,1013.2,0.0,0.19,,,10.0,ScAs,8.0,1249,0.3,0.2,0.1,0.6,1.0,2023-07-15 13:00:00
518,3.3,,0.4,0.0,73.0,5.7,-1.0,1001.6,1012.2,0.0,0.11,,,10.0,ScAs,7.0,744,0.5,0.2,0.1,0.6,1.0,2023-07-15 14:00:00
519,3.6,0.0,1.8,250.0,69.0,5.5,-1.5,1001.1,1011.7,0.0,0.17,,,10.0,StNs,6.0,655,0.3,0.2,0.2,0.6,1.0,2023-07-15 15:00:00
520,2.0,,1.9,290.0,87.0,6.1,0.0,1001.2,1011.9,0.0,0.03,,,10.0,StNs,6.0,140,0.0,0.1,0.1,0.6,1.0,2023-07-15 16:00:00
521,1.3,,1.2,200.0,93.0,6.2,0.2,1001.0,1011.7,0.0,0.03,0.2,,10.0,StNs,6.0,81,0.0,0.1,0.1,0.6,1.1,2023-07-15 17:00:00
522,1.1,3.3,3.0,290.0,96.0,6.3,0.5,1001.1,1011.8,0.0,0.0,1.0,1.0,10.0,StNs,6.0,187,0.0,0.1,0.2,0.6,1.0,2023-07-15 18:00:00
523,-0.1,,3.2,320.0,88.0,5.4,-1.8,1002.2,1013.0,,,1.0,,10.0,ScAs,10.0,582,0.0,0.1,0.1,0.6,1.1,2023-07-15 19:00:00
524,-0.8,,2.9,290.0,85.0,4.9,-3.0,1003.2,1014.0,,,1.0,,8.0,Sc,8.0,836,0.0,0.1,0.1,0.6,1.0,2023-07-15 20:00:00
525,-1.8,0.0,2.9,270.0,85.0,4.6,-3.9,1004.3,1015.2,,,1.0,0.0,9.0,Sc,8.0,590,0.0,0.1,0.1,0.6,1.0,2023-07-15 21:00:00
526,-3.2,,3.9,290.0,81.0,3.9,-6.0,1005.2,1016.1,,,1.0,,,,4.0,492,0.0,0.0,0.1,0.6,1.0,2023-07-15 22:00:00
527,-4.2,,2.9,290.0,79.0,3.5,-7.3,1006.2,1017.2,,,1.0,,,,4.0,554,-0.2,0.0,0.1,0.6,1.0,2023-07-15 23:00:00
528,-5.3,,3.8,290.0,77.0,3.2,-8.7,1006.7,1017.7,,,1.0,,7.0,Sc,10.0,894,-0.6,0.0,0.1,0.6,1.0,2023-07-16 00:00:00
529,-6.0,,3.1,290.0,76.0,3.0,-9.5,1007.0,1018.1,,,1.0,,,,,1178,-0.8,0.0,0.1,0.6,1.1,2023-07-16 01:00:00
530,-7.5,,3.9,290.0,65.0,2.3,-12.9,1007.6,1018.7,,,1.0,,,,5.0,2000,-1.4,-0.2,0.1,0.6,1.0,2023-07-16 02:00:00
531,-8.6,,3.3,270.0,68.0,2.2,-13.4,1008.3,1019.5,,,1.0,,2.0,Sc,7.0,2000,-2.0,-0.3,0.1,0.6,1.0,2023-07-16 03:00:00
532,-9.5,,4.3,290.0,49.0,1.5,-18.2,1008.7,1019.9,,,1.0,,0.0,,,2000,-2.9,-0.4,0.1,0.6,1.0,2023-07-16 04:00:00
533,-10.5,,3.0,320.0,46.0,1.3,-19.9,1009.4,1020.7,,,1.0,,0.0,,,2000,-3.6,-0.6,0.1,0.6,1.0,2023-07-16 05:00:00
534,-11.5,,3.2,290.0,47.0,1.2,-20.5,1010.7,1022.0,,,1.0,,0.0,,,2000,-4.3,-0.8,0.0,0.5,1.0,2023-07-16 06:00:00
535,-12.5,,4.5,290.0,41.0,1.0,-23.0,1011.9,1023.3,,,1.0,,0.0,,,2000,-5.3,-1.1,0.0,0.6,1.0,2023-07-16 07:00:00
536,-13.0,,4.0,290.0,41.0,0.9,-23.5,1013.2,1024.6,0.0,0.0,1.0,,0.0,,,2000,-5.8,-1.4,0.0,0.6,1.0,2023-07-16 08:00:00
537,-13.3,,3.5,320.0,36.0,0.8,-25.2,1014.2,1025.7,0.7,0.19,1.0,,0.0,,,2000,-5.8,-1.6,0.1,0.6,1.0,2023-07-16 09:00:00
538,-12.1,,3.5,290.0,34.0,0.8,-24.8,1015.2,1026.6,1.0,0.62,1.0,,0.0,,,1968,-3.9,-1.1,0.0,0.6,1.0,2023-07-16 10:00:00
539,-11.7,,4.0,320.0,27.0,0.7,-26.9,1015.5,1026.9,1.0,0.94,1.0,,0.0,,,1935,-2.9,-0.8,0.1,0.6,1.0,2023-07-16 11:00:00
540,-11.3,,3.7,290.0,27.0,0.7,-26.6,1015.1,1026.5,1.0,1.18,1.0,,0.0,,,1955,-2.1,-0.6,0.0,0.6,1.1,2023-07-16 12:00:00
541,-11.0,,4.0,320.0,27.0,0.7,-26.3,1014.2,1025.6,1.0,1.26,1.0,,0.0,,,1959,-1.8,-0.5,0.1,0.6,1.1,2023-07-16 13:00:00
542,-10.4,,4.3,320.0,30.0,0.8,-24.6,1013.7,1025.0,1.0,1.22,1.0,,0.0,,,2000,-1.8,-0.4,0.1,0.6,1.0,2023-07-16 14:00:00
543,-9.7,,3.6,290.0,32.0,0.9,-23.3,1013.5,1024.8,1.0,1.04,1.0,,0.0,,,2000,-2.0,-0.4,0.0,0.6,1.1,2023-07-16 15:00:00
544,-10.1,,4.3,320.0,34.0,1.0,-23.0,1013.2,1024.5,1.0,0.74,1.0,,0.0,,,2000,-3.3,-0.6,0.0,0.6,1.0,2023-07-16 16:00:00
545,-10.6,,3.5,290.0,38.0,1.0,-22.2,1013.4,1024.7,1.0,0.38,0.9,,0.0,,,2000,-4.7,-1.1,0.0,0.6,1.0,2023-07-16 17:00:00
546,-11.5,,2.4,270.0,43.0,1.1,-21.6,1013.6,1025.0,0.4,0.05,0.9,,0.0,,,2000,-5.8,-1.7,0.0,0.6,1.0,2023-07-16 18:00:00
547,-12.0,,3.2,290.0,47.0,1.1,-21.0,1014.0,1025.4,,,0.9,,,,,2000,-6.7,-2.1,0.0,0.6,1.0,2023-07-16 19:00:00
548,-12.5,,3.0,290.0,52.0,1.2,-20.3,1014.4,1025.8,,,0.9,,,,,2000,-7.3,-2.5,-0.1,0.5,1.0,2023-07-16 20:00:00
549,-13.2,,4.1,320.0,49.0,1.1,-21.6,1014.9,1026.4,,,0.9,,0.0,,,2000,-7.9,-2.8,-0.1,0.5,1.0,2023-07-16 21:00:00
550,-13.9,,4.0,290.0,45.0,0.9,-23.2,1015.5,1027.0,,,0.9,,,,,2000,-8.5,-3.2,-0.1,0.5,1.0,2023-07-16 22:00:00
551,-14.3,,4.0,320.0,38.0,0.8,-25.5,1016.5,1028.0,,,0.9,,,,,2000,-9.0,-3.5,-0.3,0.6,1.0,2023-07-16 23:00:00
552,-14.6,,3.9,320.0,34.0,0.7,-27.0,1016.8,1028.4,,,0.9,,0.0,,,2000,-9.4,-3.9,-0.3,0.5,1.0,2023-07-17 00:00:00
553,-15.0,,2.5,290.0,31.0,0.6,-28.3,1017.0,1028.6,,,0.9,,,,,2000,-9.7,-4.2,-0.5,0.5,1.0,2023-07-17 01:00:00
554,-15.2,,3.1,290.0,32.0,0.6,-28.2,1017.2,1028.8,,,0.9,,,,,2000,-9.9,-4.5,-0.7,0.5,1.0,2023-07-17 02:00:00
555,-15.2,,3.4,290.0,30.0,0.6,-28.9,1017.7,1029.3,,,0.9,,0.0,,,2000,-10.0,-4.7,-0.9,0.4,1.0,2023-07-17 03:00:00
556,-15.4,,2.5,290.0,30.0,0.6,-29.1,1017.7,1029.3,,,0.9,,0.0,,,2000,-10.2,-4.9,-1.1,0.4,1.0,2023-07-17 04:00:00
557,-15.6,,3.7,290.0,29.0,0.5,-29.6,1017.9,1029.5,,,0.9,,0.0,,,2000,-10.5,-5.2,-1.4,0.4,1.0,2023-07-17 05:00:00
558,-15.7,,2.5,290.0,29.0,0.5,-29.7,1018.0,1029.6,,,0.9,,0.0,,,2000,-10.6,-5.5,-1.6,0.4,1.0,2023-07-17 06:00:00
559,-15.9,,3.0,360.0,30.0,0.5,-29.5,1018.2,1029.8,,,0.9,,0.0,,,2000,-10.9,-5.7,-1.9,0.3,1.0,2023-07-17 07:00:00
560,-16.2,,1.6,320.0,30.0,0.5,-29.8,1018.5,1030.1,0.0,0.0,0.9,,0.0,,,2000,-10.9,-6.0,-2.1,0.3,0.9,2023-07-17 08:00:00
561,-15.8,,3.4,320.0,27.0,0.5,-30.5,1018.8,1030.4,0.5,0.2,0.9,,0.0,,,2000,-10.3,-5.8,-2.4,0.3,0.9,2023-07-17 09:00:00
562,-14.5,,4.6,320.0,24.0,0.5,-30.6,1019.2,1030.8,1.0,0.61,0.9,,0.0,,,1902,-7.7,-4.7,-2.3,0.3,0.9,2023-07-17 10:00:00
563,-13.1,,3.8,320.0,25.0,0.6,-29.0,1019.1,1030.6,1.0,0.96,0.9,,0.0,,,1964,-5.3,-3.5,-2.0,0.3,0.9,2023-07-17 11:00:00
564,-12.2,,4.0,290.0,26.0,0.6,-27.8,1018.8,1030.3,1.0,1.17,0.9,,0.0,,,2000,-3.6,-2.6,-1.7,0.2,0.9,2023-07-17 12:00:00
565,-12.0,,6.0,320.0,25.0,0.6,-28.0,1018.0,1029.4,1.0,1.27,0.9,,0.0,,,1887,-3.3,-2.1,-1.4,0.2,0.9,2023-07-17 13:00:00
566,-11.1,,3.8,290.0,26.0,0.7,-26.8,1017.6,1029.0,1.0,1.25,0.8,,0.0,,,1980,-2.4,-1.7,-1.1,0.2,0.9,2023-07-17 14:00:00
567,-10.8,,3.8,290.0,29.0,0.8,-25.4,1017.5,1028.9,1.0,1.06,0.7,,0.0,,,2000,-2.7,-1.3,-0.9,0.2,0.9,2023-07-17 15:00:00
568,-11.2,,4.7,320.0,30.0,0.8,-25.3,1017.3,1028.7,1.0,0.77,0.7,,0.0,,,2000,-4.3,-1.5,-0.8,0.2,0.8,2023-07-17 16:00:00
569,-11.8,,3.5,290.0,26.0,0.6,-27.4,1017.7,1029.1,1.0,0.39,0.7,,0.0,,,2000,-6.4,-2.5,-1.0,0.2,0.8,2023-07-17 17:00:00
570,-13.0,,3.4,320.0,29.0,0.7,-27.3,1017.3,1028.8,0.4,0.05,0.7,,0.0,,,2000,-8.0,-3.8,-1.3,0.2,0.8,2023-07-17 18:00:00
571,-13.8,,2.2,360.0,32.0,0.7,-26.9,1017.7,1029.2,,,0.7,,,,,2000,-9.0,-4.7,-1.8,0.1,0.8,2023-07-17 19:00:00
572,-14.3,,1.3,270.0,37.0,0.8,-25.8,1018.4,1030.0,,,0.7,,,,,2000,-9.6,-5.4,-2.2,0.1,0.8,2023-07-17 20:00:00
573,-14.7,,3.2,320.0,40.0,0.8,-25.3,1019.0,1030.6,,,0.7,,0.0,,,1933,-10.2,-5.8,-2.6,0.1,0.8,2023-07-17 21:00:00
574,-15.2,,4.0,340.0,45.0,0.9,-24.4,1019.3,1030.9,,,0.7,,,,,2000,-10.7,-6.2,-2.8,0.0,0.8,2023-07-17 22:00:00
575,-15.7,,3.6,340.0,43.0,0.8,-25.4,1019.2,1030.8,,,0.7,,,,,2000,-11.1,-6.5,-3.1,0.0,0.8,2023-07-17 23:00:00
576,-15.9,,3.8,340.0,43.0,0.8,-25.6,1019.3,1030.9,,,0.7,,0.0,,,2000,-11.4,-6.8,-3.3,0.0,0.7,2023-07-18 00:00:00
577,-16.1,,2.2,340.0,42.0,0.7,-26.0,1019.4,1031.0,,,0.7,,,,70.0,2000,-11.2,-6.9,-3.5,-0.1,0.8,2023-07-18 01:00:00
578,-16.0,,1.3,360.0,42.0,0.7,-25.9,1019.7,1031.3,,,0.7,,,,66.0,2000,-11.0,-7.0,-3.6,-0.1,0.7,2023-07-18 02:00:00
579,-16.0,,1.9,340.0,40.0,0.7,-26.5,1019.7,1031.3,,,0.7,,4.0,Ci,,2000,-11.2,-7.1,-3.8,-0.1,0.7,2023-07-18 03:00:00
580,-15.9,,2.4,320.0,37.0,0.7,-27.2,1020.0,1031.6,,,0.7,,5.0,Ci,,1985,-11.1,-7.0,-3.9,-0.2,0.7,2023-07-18 04:00:00
581,-15.8,,2.7,290.0,37.0,0.7,-27.1,1019.5,1031.1,,,0.7,,7.0,Ci,,2000,-11.0,-7.0,-4.0,-0.2,0.7,2023-07-18 05:00:00
582,-16.1,,3.0,340.0,33.0,0.6,-28.7,1019.7,1031.4,,,0.7,,1.0,Ci,,2000,-11.7,-7.3,-4.1,-0.3,0.6,2023-07-18 06:00:00
583,-16.2,,2.2,320.0,33.0,0.6,-28.7,1020.2,1031.9,,,0.7,,0.0,,,2000,-11.8,-7.6,-4.2,-0.3,0.6,2023-07-18 07:00:00
584,-16.4,,3.3,320.0,32.0,0.5,-29.2,1021.2,1032.9,0.0,0.01,0.6,,8.0,Ci,,2000,-11.8,-7.6,-4.4,-0.4,0.6,2023-07-18 08:00:00
585,-16.2,,2.9,340.0,33.0,0.6,-28.7,1021.3,1033.0,0.5,0.19,0.6,,6.0,Ci,,2000,-10.9,-7.4,-4.5,-0.4,0.6,2023-07-18 09:00:00
586,-15.3,,2.4,290.0,33.0,0.6,-27.9,1021.1,1032.7,1.0,0.56,0.6,,7.0,Ci,,2000,-8.4,-6.2,-4.2,-0.5,0.6,2023-07-18 10:00:00
587,-13.8,,3.5,290.0,25.0,0.5,-29.6,1021.2,1032.8,1.0,0.91,0.6,,7.0,Ci,,1996,-5.4,-4.6,-3.7,-0.5,0.5,2023-07-18 11:00:00
588,-12.8,,3.2,340.0,25.0,0.6,-28.7,1019.9,1031.4,1.0,1.16,0.6,,3.0,Ci,,1981,-3.5,-3.3,-3.0,-0.5,0.6,2023-07-18 12:00:00
589,-11.4,,3.9,290.0,27.0,0.7,-26.7,1019.0,1030.4,1.0,1.26,0.6,,3.0,Ci,,2000,-1.8,-2.2,-2.3,-0.4,0.6,2023-07-18 13:00:00
590,-10.4,,2.3,290.0,25.0,0.7,-26.7,1018.2,1029.6,1.0,1.21,0.5,,2.0,Ci,,1981,-1.0,-1.5,-1.8,-0.4,0.5,2023-07-18 14:00:00
591,-9.7,,3.7,270.0,28.0,0.8,-24.8,1018.2,1029.6,1.0,1.0,0.5,,7.0,Ci,,2000,-1.7,-1.3,-1.5,-0.3,0.5,2023-07-18 15:00:00
592,-9.6,,2.6,290.0,31.0,0.9,-23.6,1018.0,1029.4,1.0,0.66,0.5,,8.0,Ci,,1973,-2.9,-1.4,-1.3,-0.3,0.5,2023-07-18 16:00:00
593,-10.9,,4.0,340.0,32.0,0.9,-24.4,1017.7,1029.1,0.8,0.28,0.5,,8.0,Ci,,2000,-5.2,-2.4,-1.3,-0.3,0.5,2023-07-18 17:00:00
594,-11.8,,4.0,320.0,33.0,0.8,-24.8,1017.7,1029.1,0.0,0.04,0.5,,8.0,Ci,,2000,-6.9,-3.7,-1.6,-0.3,0.5,2023-07-18 18:00:00
595,-12.7,,3.7,320.0,33.0,0.8,-25.6,1018.4,1029.9,,,0.5,,,,,2000,-8.3,-4.7,-2.1,-0.3,0.5,2023-07-18 19:00:00
596,-13.5,,2.4,320.0,33.0,0.7,-26.3,1018.2,1029.7,,,0.5,,,,,2000,-9.3,-5.5,-2.6,-0.4,0.5,2023-07-18 20:00:00
597,-14.1,,2.2,340.0,35.0,0.7,-26.2,1018.2,1029.8,,,0.5,,0.0,,,2000,-10.1,-6.1,-3.1,-0.5,0.4,2023-07-18 21:00:00
598,-14.6,,2.5,340.0,35.0,0.7,-26.7,1018.1,1029.7,,,0.5,,,,,2000,-10.7,-6.7,-3.5,-0.5,0.4,2023-07-18 22:00:00
599,-14.9,,2.8,290.0,35.0,0.7,-26.9,1018.1,1029.7,,,0.5,,,,,2000,-11.1,-7.1,-3.9,-0.6,0.4,2023-07-18 23:00:00
600,-15.1,,1.7,320.0,34.0,0.6,-27.4,1018.0,1029.6,,,0.5,,0.0,,,2000,-11.4,-7.4,-4.2,-0.7,0.4,2023-07-19 00:00:00
601,-15.3,,1.7,320.0,34.0,0.6,-27.6,1017.8,1029.4,,,0.5,,,,,2000,-11.8,,-4.4,,,2023-07-19 01:00:00
602,-15.6,,2.2,320.0,33.0,0.6,-28.2,1018.1,1029.7,,,0.5,,,,,2000,-12.1,-7.9,-4.6,-0.8,0.4,2023-07-19 02:00:00
603,-15.9,,2.9,320.0,34.0,0.6,-28.2,1018.5,1030.1,,,0.5,,0.0,,,2000,-12.5,-8.2,-4.9,-0.9,0.3,2023-07-19 03:00:00
604,-16.4,,1.5,320.0,36.0,0.6,-28.0,1018.3,1030.0,,,0.5,,0.0,,,2000,-12.7,-8.4,-5.1,-1.0,0.4,2023-07-19 04:00:00
605,-16.9,,2.3,290.0,38.0,0.6,-27.9,1018.3,1030.0,,,0.5,,0.0,,,2000,-13.0,-8.6,-5.3,-1.0,0.3,2023-07-19 05:00:00
606,-17.4,,1.6,270.0,40.0,0.6,-27.7,1018.4,1030.1,,,0.5,,0.0,,,2000,-13.2,-8.9,-5.5,-1.1,0.3,2023-07-19 06:00:00
607,-17.5,,3.4,340.0,38.0,0.6,-28.4,1018.8,1030.5,,,0.5,,0.0,,,2000,-13.5,-9.2,-5.6,-1.2,0.3,2023-07-19 07:00:00
608,-17.8,,2.5,320.0,40.0,0.6,-28.1,1019.1,1030.8,0.0,0.0,0.5,,0.0,,,2000,-13.6,-9.3,-5.8,-1.3,0.2,2023-07-19 08:00:00
609,-17.5,,3.8,320.0,37.0,0.6,-28.7,1019.6,1031.3,0.6,0.21,0.5,,0.0,,,1941,-12.6,-9.1,-6.0,-1.4,0.3,2023-07-19 09:00:00
610,-16.5,,3.4,320.0,33.0,0.6,-29.0,1020.0,1031.7,1.0,0.62,0.5,,0.0,,,1703,-9.4,-7.6,-5.7,-1.5,0.2,2023-07-19 10:00:00
611,-15.6,,3.3,340.0,31.0,0.6,-28.9,1020.2,1031.8,1.0,0.93,0.5,,0.0,,,1808,-6.6,-6.1,-5.2,-1.5,0.2,2023-07-19 11:00:00
612,-14.4,,2.7,340.0,30.0,,-28.2,1019.3,1030.9,1.0,1.17,0.5,,0.0,,,1906,-4.0,-4.3,-4.4,-1.5,0.2,2023-07-19 12:00:00
613,-13.3,,2.7,320.0,28.0,,-27.9,1018.6,1030.1,1.0,1.26,0.5,,0.0,,,1889,-2.2,-3.2,-3.5,-1.3,0.2,2023-07-19 13:00:00
614,-12.1,,2.5,290.0,27.0,0.7,-27.3,1018.2,1029.7,1.0,1.25,0.4,,0.0,,,1879,-1.2,-2.3,-2.8,-1.2,0.1,2023-07-19 14:00:00
615,-11.4,,3.3,290.0,27.0,0.7,-26.7,1017.8,1029.2,,,0.4,,0.0,,,1805,-1.5,-1.9,-2.3,-1.1,0.1,2023-07-19 15:00:00
616,-10.8,,2.7,290.0,28.0,0.8,-25.8,1017.6,1029.0,1.0,0.77,0.4,,0.0,,,1778,-3.1,-1.8,-1.9,-1.0,0.1,2023-07-19 16:00:00
617,-11.5,,3.3,290.0,31.0,0.8,-25.2,1017.8,1029.2,1.0,0.41,0.3,,0.0,,,1745,-5.7,-2.9,-1.8,-0.8,0.1,2023-07-19 17:00:00
618,-12.7,,2.5,320.0,33.0,0.8,-25.6,1018.3,1029.8,0.3,0.05,0.3,,0.0,,,1835,-7.8,-4.5,-2.3,-0.9,0.1,2023-07-19 18:00:00
619,-13.2,,2.4,360.0,33.0,0.7,-26.1,1018.4,1029.9,,,0.3,,,,,1863,-9.1,-5.6,-2.9,-0.9,0.1,2023-07-19 19:00:00
620,-13.7,,1.7,290.0,35.0,0.7,-25.9,1018.9,1030.4,,,0.3,,,,,1878,-9.9,-6.4,-3.5,-1.0,0.1,2023-07-19 20:00:00
621,-14.1,,1.8,340.0,36.0,0.7,-25.9,1019.2,1030.8,,,0.3,,0.0,,,1869,-10.7,-7.0,-4.0,-1.1,0.1,2023-07-19 21:00:00
622,-14.6,,1.8,290.0,40.0,0.8,-25.2,1020.0,1031.6,,,0.3,,,,,1746,-11.0,-7.4,-4.4,-1.2,0.0,2023-07-19 22:00:00
623,-14.4,,2.7,320.0,38.0,0.8,-25.6,1019.8,1031.4,,,0.3,,,,,1738,-11.5,-7.8,-4.7,-1.3,0.0,2023-07-19 23:00:00
624,-15.0,,1.2,290.0,42.0,0.8,-25.0,1020.2,1031.8,,,0.3,,0.0,,,1766,-11.6,-8.0,-5.0,-1.4,0.0,2023-07-20 00:00:00
625,-15.1,,0.8,20.0,43.0,0.8,-24.9,1019.8,1031.4,,,0.3,,,,,1905,-12.0,-8.4,-5.3,-1.6,0.0,2023-07-20 01:00:00
626,-15.3,,0.6,340.0,43.0,0.8,-25.0,1019.9,1031.5,,,0.3,,,,,1867,-12.2,-8.6,-5.5,-1.7,0.0,2023-07-20 02:00:00
627,-15.3,,0.8,320.0,43.0,0.8,-25.0,1020.5,1032.1,,,0.3,,0.0,,,1963,-12.5,-8.8,-5.7,-1.8,0.0,2023-07-20 03:00:00
628,-15.3,,0.8,20.0,47.0,0.9,-24.0,1020.3,1031.9,,,0.3,,1.0,Ci,,1868,-12.3,-8.8,-5.9,-1.9,0.0,2023-07-20 04:00:00
629,-15.4,,0.8,340.0,45.0,0.8,-24.6,1020.1,1031.7,,,0.3,,0.0,,,2000,-12.6,-9.0,-6.0,-2.0,0.0,2023-07-20 05:00:00
630,-15.3,,0.7,360.0,47.0,0.9,-24.0,1020.4,1032.0,,,0.3,,1.0,Ci,,1921,-12.6,-9.1,-6.1,-2.1,-0.1,2023-07-20 06:00:00
631,-15.7,,1.3,50.0,53.0,1.0,-23.1,1019.9,1031.5,,,0.3,,1.0,Ci,,1629,-12.8,-9.3,-6.2,-2.2,-0.1,2023-07-20 07:00:00
632,-15.9,,0.9,20.0,58.0,1.0,-22.2,1020.0,1031.6,0.0,0.0,0.3,,0.0,,,1369,-12.7,-9.3,-6.4,-2.2,-0.1,2023-07-20 08:00:00
633,-15.1,,1.1,20.0,49.0,0.9,-23.4,1020.2,1031.8,0.6,0.2,0.3,,0.0,,,1401,-11.3,-8.7,-6.4,-2.3,-0.1,2023-07-20 09:00:00
634,-12.3,,0.6,180.0,35.0,0.8,-24.6,1020.3,1031.8,1.0,0.6,0.3,,0.0,,,1497,-7.5,-6.7,-5.9,-2.3,-0.1,2023-07-20 10:00:00
635,-9.6,,1.1,70.0,33.0,1.0,-22.9,1020.2,1031.6,1.0,0.9,0.3,,0.0,,,1748,-3.9,-4.5,-5.0,-2.2,-0.1,2023-07-20 11:00:00
636,-7.7,,2.5,180.0,32.0,1.1,-21.5,1019.7,1031.0,1.0,1.13,0.3,,0.0,,,1763,-1.5,-2.9,-4.0,-2.1,-0.2,2023-07-20 12:00:00
637,-6.6,,2.1,290.0,27.0,1.0,-22.5,1018.2,1029.4,1.0,1.24,0.3,,0.0,,,1889,-0.2,-1.9,-3.0,-1.9,-0.2,2023-07-20 13:00:00
638,-4.1,,2.0,230.0,25.0,1.1,-21.2,1017.0,1028.1,1.0,1.2,0.2,,0.0,,,1730,0.2,-1.2,-2.3,-1.6,-0.2,2023-07-20 14:00:00
639,-3.7,,2.2,180.0,26.0,1.2,-20.4,1016.3,1027.4,1.0,1.04,,,0.0,,,1739,0.3,-0.8,-1.9,-1.4,-0.1,2023-07-20 15:00:00
640,-3.7,,2.6,270.0,25.0,1.2,-20.9,1016.2,1027.3,1.0,0.74,,,1.0,Ci,,1839,-0.1,-0.6,-1.5,-1.3,-0.2,2023-07-20 16:00:00
641,-4.6,,1.9,270.0,26.0,1.1,-21.2,1015.9,1027.0,1.0,0.39,,,0.0,,,2000,-1.8,-0.6,-1.3,-1.1,-0.2,2023-07-20 17:00:00
642,-6.6,,3.0,270.0,31.0,1.2,-20.9,1015.4,1026.6,0.4,0.06,,,0.0,,,1988,-3.7,-1.3,-1.2,-1.0,-0.2,2023-07-20 18:00:00
643,-7.1,,2.0,320.0,33.0,1.2,-20.6,1015.3,1026.5,,,,,,,59.0,1887,-4.8,-2.1,-1.4,-0.9,-0.1,2023-07-20 19:00:00
644,-7.6,,1.7,290.0,36.0,1.2,-20.1,1014.9,1026.1,,,,,,,,1858,-5.9,-3.0,-1.7,-0.9,-0.1,2023-07-20 20:00:00
645,-7.9,,2.6,270.0,35.0,1.2,-20.7,1015.6,1026.8,,,,,4.0,Ci,,1878,-6.6,-3.7,-2.0,-0.8,-0.1,2023-07-20 21:00:00
646,-7.8,,2.3,290.0,43.0,1.5,-18.2,1015.8,1027.0,,,,,,,45.0,1804,-6.1,-3.8,-2.4,-0.9,-0.1,2023-07-20 22:00:00
647,-7.6,,1.2,270.0,42.0,1.5,-18.3,1014.6,1025.8,,,,,,,,1760,-6.0,-4.0,-2.6,-0.9,-0.1,2023-07-20 23:00:00
648,-7.5,,2.3,270.0,36.0,1.3,-20.0,1014.3,1025.5,,,,,9.0,As,39.0,1972,-5.9,-4.1,-2.7,-1.0,-0.2,2023-07-21 00:00:00
649,-7.5,,2.4,270.0,45.0,1.6,-17.4,1014.6,1025.8,,,,,,,34.0,1853,-6.0,-4.1,-2.8,-1.1,-0.2,2023-07-21 01:00:00
650,-7.8,,1.9,320.0,51.0,1.7,-16.1,1014.7,1025.9,,,,,,,34.0,1627,-6.0,-4.2,-2.9,-1.1,-0.2,2023-07-21 02:00:00
651,-7.7,,1.8,290.0,49.0,1.7,-16.5,1014.2,1025.4,,,,,10.0,As,26.0,1573,-5.8,-4.2,-3.0,-1.2,-0.2,2023-07-21 03:00:00
652,-7.6,,1.6,290.0,37.0,1.3,-19.8,1013.6,1024.8,,,,,10.0,As,23.0,1966,-5.7,-4.2,-3.0,-1.2,-0.2,2023-07-21 04:00:00
653,-7.5,,1.5,290.0,33.0,1.1,-21.0,1012.6,1023.8,,,,,10.0,As,21.0,2000,-5.8,-4.2,-3.0,-1.2,-0.2,2023-07-21 05:00:00
654,-7.8,,1.9,270.0,35.0,1.2,-20.6,1012.3,1023.5,,,,,7.0,Ci,,2000,-6.6,-4.4,-3.1,-1.3,-0.2,2023-07-21 06:00:00
655,-8.0,,1.9,290.0,39.0,1.3,-19.5,1012.3,1023.5,,,,,4.0,Ci,,2000,-6.9,-4.8,-3.2,-1.3,-0.2,2023-07-21 07:00:00
656,-8.1,,1.7,290.0,43.0,1.4,-18.5,1012.6,1023.8,0.0,0.0,,,4.0,Ci,,1943,-7.1,-5.0,-3.3,-1.4,-0.2,2023-07-21 08:00:00
